Alignment name,Segment Probability,Segment Position in Alignment
A_BBS30001,1.0,27-47
A_BBS30001,0.9,3-12
A_BBS30001,0.9666666666666667,140-163
A_BBS30001,0.5,174-179
A_BBS30001,0.5333333333333333,183-189
A_BBS30001,0.7333333333333333,67-75
A_BBS30001,0.9333333333333333,108-114
A_BBS30001,0.7333333333333333,54-59
A_BBS30001,0.5666666666666667,102-103
A_BBS30001,0.7,95-98
A_BBS30001,0.6,130-134
A_BBS30001,0.8666666666666667,82-86
A_BBS30001,0.8,21-23
A_BBS30001,0.0,201-201
A_BBS30001,0.3,194-194
A_BBS30001,0.3,16-16
A_BBS30002,0.9666666666666667,615-632
A_BBS30002,1.0,561-573
A_BBS30002,0.9666666666666667,230-246
A_BBS30002,0.9666666666666667,503-518
A_BBS30002,0.8666666666666667,649-672
A_BBS30002,0.7333333333333333,69-78
A_BBS30002,0.7333333333333333,255-259
A_BBS30002,0.7666666666666667,357-368
A_BBS30002,0.7,25-29
A_BBS30002,0.7333333333333333,601-608
A_BBS30002,0.7,209-212
A_BBS30002,0.7666666666666667,216-226
A_BBS30002,0.7,16-21
A_BBS30002,0.7333333333333333,485-491
A_BBS30002,0.6333333333333333,35-39
A_BBS30002,0.5666666666666667,264-266
A_BBS30002,0.7666666666666667,54-58
A_BBS30002,0.6333333333333333,62-63
A_BBS30002,0.7,585-590
A_BBS30002,0.7,43-45
A_BBS30002,0.7,638-640
A_BBS30002,0.7666666666666667,273-274
A_BBS30002,0.3,376-376
A_BBS30002,0.7333333333333333,288-290
A_BBS30002,0.6,595-596
A_BBS30002,0.8666666666666667,350-353
A_BBS30002,0.3333333333333333,577-577
A_BBS30002,0.3333333333333333,394-394
A_BBS30002,0.3333333333333333,307-307
A_BBS30002,0.3333333333333333,251-251
A_BBS30002,0.3333333333333333,205-205
A_BBS30002,0.3333333333333333,284-284
A_BBS30002,0.3333333333333333,526-526
A_BBS30002,0.3333333333333333,386-386
A_BBS30003,1.0,223-235
A_BBS30003,0.8,45-58
A_BBS30003,0.8666666666666667,183-191
A_BBS30003,0.7333333333333333,156-167
A_BBS30003,0.5,336-340
A_BBS30003,0.7333333333333333,7-19
A_BBS30003,0.8,93-97
A_BBS30003,0.6,277-280
A_BBS30003,0.6333333333333333,36-38
A_BBS30003,0.6666666666666666,145-150
A_BBS30003,0.7666666666666667,173-179
A_BBS30003,0.8,131-137
A_BBS30003,0.6666666666666666,400-405
A_BBS30003,0.4666666666666667,74-76
A_BBS30003,0.7,284-287
A_BBS30003,0.06666666666666667,393-393
A_BBS30003,0.8,123-124
A_BBS30003,0.5666666666666667,270-273
A_BBS30003,0.8666666666666667,208-211
A_BBS30003,0.7333333333333333,310-313
A_BBS30003,0.7666666666666667,378-381
A_BBS30003,0.7333333333333333,366-367
A_BBS30003,0.7333333333333333,81-82
A_BBS30003,0.7666666666666667,105-107
A_BBS30003,0.4,347-347
A_BBS30003,0.8,257-260
A_BBS30003,0.3333333333333333,373-373
A_BBS30003,0.3333333333333333,113-113
A_BBS30003,0.3333333333333333,291-291
A_BBS30003,0.3333333333333333,219-219
A_BBS30003,0.3333333333333333,201-201
A_BBS30003,0.3333333333333333,195-195
A_BBS30003,0.3333333333333333,317-317
A_BBS30003,0.3333333333333333,413-413
A_BBS30003,0.3333333333333333,266-266
A_BBS30004,0.9666666666666667,165-191
A_BBS30004,1.0,268-287
A_BBS30004,1.0,444-463
A_BBS30004,0.9666666666666667,139-161
A_BBS30004,0.9333333333333333,345-355
A_BBS30004,0.8,492-498
A_BBS30004,0.9333333333333333,240-246
A_BBS30004,0.6333333333333333,207-214
A_BBS30004,0.9,258-263
A_BBS30004,0.8,218-226
A_BBS30004,0.7,7-22
A_BBS30004,0.7333333333333333,195-200
A_BBS30004,0.5666666666666667,371-381
A_BBS30004,0.7333333333333333,326-334
A_BBS30004,0.7333333333333333,481-488
A_BBS30004,0.6333333333333333,435-440
A_BBS30004,0.5666666666666667,125-131
A_BBS30004,0.7,503-505
A_BBS30004,0.7,71-74
A_BBS30004,0.7333333333333333,42-46
A_BBS30004,0.8,291-297
A_BBS30004,0.6,317-322
A_BBS30004,0.7,53-57
A_BBS30004,0.8,404-405
A_BBS30004,0.3333333333333333,430-430
A_BBS30004,0.3333333333333333,509-509
A_BBS30004,0.3333333333333333,391-391
A_BBS30004,0.3333333333333333,117-117
A_BBS30004,0.3333333333333333,230-230
A_BBS30005,1.0,224-241
A_BBS30005,1.0,185-204
A_BBS30005,1.0,160-180
A_BBS30005,0.9666666666666667,87-93
A_BBS30005,0.7333333333333333,105-116
A_BBS30005,0.7333333333333333,142-148
A_BBS30005,0.7666666666666667,28-34
A_BBS30005,0.7666666666666667,247-253
A_BBS30005,0.6666666666666666,73-78
A_BBS30005,0.5333333333333333,43-46
A_BBS30005,0.7666666666666667,23-23
A_BBS30005,0.16666666666666666,99-99
A_BBS30005,0.7666666666666667,262-264
A_BBS30005,0.43333333333333335,152-152
A_BBS30005,0.43333333333333335,54-54
A_BBS30006,1.0,24-42
A_BBS30006,0.7333333333333333,5-11
A_BBS30006,0.7333333333333333,98-103
A_BBS30006,0.8333333333333334,87-89
A_BBS30006,0.0,57-57
A_BBS30006,0.9,63-64
A_BBS30006,0.8333333333333334,17-18
A_BBS30006,0.03333333333333333,107-107
A_BBS30006,0.4666666666666667,46-46
A_BBS30007,0.9666666666666667,42-52
A_BBS30007,1.0,18-36
A_BBS30007,0.6,95-97
A_BBS30007,0.9,106-113
A_BBS30007,0.9,56-62
A_BBS30007,0.8,74-77
A_BBS30007,0.6,2-3
A_BBS30007,0.9,9-10
A_BBS30008,1.0,1-22
A_BBS30008,1.0,134-155
A_BBS30008,1.0,305-327
A_BBS30008,1.0,179-194
A_BBS30008,1.0,59-71
A_BBS30008,0.9666666666666667,122-130
A_BBS30008,1.0,356-372
A_BBS30008,0.9,165-171
A_BBS30008,0.8333333333333334,226-235
A_BBS30008,0.5666666666666667,499-508
A_BBS30008,0.7,385-389
A_BBS30008,0.7666666666666667,198-203
A_BBS30008,0.06666666666666667,381-381
A_BBS30008,0.8,393-398
A_BBS30008,0.6333333333333333,471-475
A_BBS30008,0.3,494-494
A_BBS30008,0.7,267-268
A_BBS30008,0.9333333333333333,299-300
A_BBS30008,0.8666666666666667,416-417
A_BBS30008,0.7,436-438
A_BBS30008,0.2,444-444
A_BBS30008,0.06666666666666667,466-466
A_BBS30008,0.06666666666666667,448-448
A_BBS30008,0.06666666666666667,218-218
A_BBS30008,0.5333333333333333,295-295
A_BBS30008,0.3333333333333333,79-79
A_BBS30008,0.3333333333333333,75-75
A_BBS30008,0.3333333333333333,275-275
A_BBS30008,0.3333333333333333,422-422
A_BBS30008,0.3333333333333333,346-346
A_BBS30008,0.3333333333333333,403-403
A_BBS30008,0.3333333333333333,452-452
A_BBS30008,0.3333333333333333,409-409
A_BBS30009,0.8666666666666667,10-18
A_BBS30009,0.9333333333333333,28-30
A_BBS30009,1.0,50-52
A_BBS30009,0.5333333333333333,24-24
A_BBS30009,0.6666666666666666,65-65
A_BBS30009,0.7,46-46
A_BBS30009,0.7,74-74
A_BBS30011,1.0,283-307
