Alignment name,Segment Probability,Segment Position in Alignment
C-struc_bS1-RNAP7Ca,0.92,524-534
IF2-EFTU_Ploop,1.0,33-58
IF2-EFTU_Ploop,0.9,193-203
N-struc_bS01-RNAP7Ca,0.99,518-537
aIF5-bEFTU,1.0,156-202
aIF5-bEFTU,0.98,39-63
aL08-aL30,0.9,54-90
aL08-aL30,1.0,124-136
aL37-bL34,0.91,77-98
aL37-bL34,0.98,68-73
aaTRNAS_Y-W,0.93,293-307
aeL14-eL27,1.0,87-100
bL27-uL16a,0.91,63-76
bL27-uL16b,0.98,29-41
seq-bS01-RNAP7Ca,0.98,550-569
seq-bS01-RNAP7Ca,0.98,577-587
seq-bS01-RNAP7Ca,0.94,609-625
uL02b-bL34,0.97,321-347
uL03a-aRNAPA,1.0,23-49
uL03a-aRNAPA,1.0,142-165
uL03a-aRNAPB-ClustalW,0.92,122-134
uL33_nonperm,0.93,174-185
