Alignment name,Segment Probability,Segment Position in Alignment
A_uL02a-uL02b,1.0,111-245
A_uL02a-uL02b,1.0,273-293
A_uL02a-uL02b,0.9666666666666667,57-100
A_uL02a-uL02b,0.16666666666666666,253-261
A_uL02a-uL02b,0.8333333333333334,307-318
A_uL02a-uL02b,0.03333333333333333,330-337
A_uL02a-uL02b,0.03333333333333333,1-2
A_uL02a-uL02b,0.0,299-300
A_uL03a-uL03b,1.0,272-313
A_uL03a-uL03b,1.0,104-127
A_uL03a-uL03b,0.9666666666666667,350-372
A_uL03a-uL03b,1.0,75-91
A_uL03a-uL03b,1.0,400-412
A_uL03a-uL03b,0.8,329-336
A_uL03a-uL03b,0.0,417-424
A_uL03a-uL03b,0.1,252-257
A_uL03a-uL03b,0.03333333333333333,341-344
A_uL03a-uL03b,0.4,177-182
A_uL03a-uL03b,0.0,322-325
A_uL03a-uL03b,0.26666666666666666,242-247
A_uL03a-uL03b,0.0,132-132
A_uL04a-uL04b,1.0,30-83
A_uL04a-uL04b,1.0,280-337
A_uL04a-uL04b,0.9666666666666667,203-236
A_uL04a-uL04b,1.0,164-182
A_uL04a-uL04b,0.9333333333333333,348-359
A_uL04a-uL04b,0.7,147-157
A_uL04a-uL04b,0.2,109-122
A_uL04a-uL04b,0.03333333333333333,143-143
A_uL04a-uL04b,0.2,93-95
A_uL04a-uL04b,0.0,89-89
A_uL04a-uL04b,0.0,139-139
A_uL05a-uL05b,1.0,79-130
A_uL05a-uL05b,1.0,138-168
A_uL05a-uL05b,1.0,46-65
A_uL05a-uL05b,0.9333333333333333,173-181
A_uL05a-uL05b,0.6,210-223
A_uL05a-uL05b,0.13333333333333333,70-75
A_uL05a-uL05b,0.0,40-40
A_uL06a-uL06b,1.0,121-152
A_uL06a-uL06b,1.0,48-84
A_uL06a-uL06b,1.0,213-232
A_uL06a-uL06b,0.9,156-177
A_uL06a-uL06b,0.1,90-108
A_uL06a-uL06b,0.3333333333333333,185-196
A_uL06a-uL06b,0.3333333333333333,258-265
A_uL06a-uL06b,0.43333333333333335,28-28
A_uL06a-uL06b,0.16666666666666666,254-254
A_uL06a-uL06b,0.43333333333333335,181-181
A_uL06a-uL06b,0.06666666666666667,250-250
A_uL06a-uL06b,0.03333333333333333,236-236
A_uL10a-uL10b,0.8333333333333334,87-105
A_uL10a-uL10b,1.0,116-135
A_uL10a-uL10b,1.0,39-54
A_uL10a-uL10b,0.36666666666666664,71-80
A_uL10a-uL10b,0.5,59-67
A_uL10a-uL10b,0.36666666666666664,252-265
A_uL10a-uL10b,0.06666666666666667,206-212
A_uL10a-uL10b,0.23333333333333334,189-194
A_uL10a-uL10b,0.3333333333333333,217-220
A_uL10a-uL10b,0.1,140-144
A_uL10a-uL10b,0.0,16-16
A_uL10a-uL10b,0.36666666666666664,319-322
A_uL10a-uL10b,0.23333333333333334,288-288
A_uL10a-uL10b,0.0,298-299
A_uL10a-uL10b,0.0,284-284
A_uL11a-uL11b,1.0,59-202
A_uL11a-uL11b,1.0,12-51
A_uL11a-uL11b,0.0,1-2
