Alignment name,Distance from boundary,Alignment position,Probability
HA-putativeLoki,0.47344267594554035,53-76,1.0
HA-putativeLoki,0.08881808348690479,176-192,0.9210621015812092
IF2-EFTU_Ploop,14.144051241276605,132-176,1.0
IF2-EFTU_Ploop,7.88034078692778,33-58,1.0
IF2-EFTU_Ploop,0.8991225180967093,112-126,1.0
N-struc_bS01-RNAP7Ca,0.6709053819761324,518-537,1.0
aIF5-bEFTU,14.228795546337727,156-202,1.0
aIF5-bEFTU,6.948974230559207,39-63,1.0
aIF5-bEFTU,0.5010789244801743,141-149,1.0
aIF5-bEFTU,0.2930953422781557,596-608,1.0
aIF5-bEFTU,0.06476831601265198,653-667,0.6946350336900909
aL08-aL30,1.5354249942271054,54-90,1.0
aL08-eS12,3.3916489592667234,59-122,1.0
aL30-eS12,0.20772045315536625,41-82,1.0
aaTRNAS_Y-W,2.1753267386956794,140-169,1.0
aeL14-eL27,4.201327148723527,14-40,1.0
casp9-mcasp_struct,1.7665874489904412,389-421,1.0
casp9-mcasp_struct,0.9946281069131886,436-458,1.0
casp9-mcasp_struct,0.5704754348967698,487-513,1.0
casp9-mcasp_struct,0.5600616585337606,534-553,1.0
seq-bS01-RNAP7Ca,4.209132585316814,550-569,1.0
seq-bS01-RNAP7Ca,1.1572768569104768,577-586,1.0
seq-bS01-RNAP7Ca,0.7622481226123399,609-625,1.0
uL02b-bL34,1.8943709567412328,321-347,1.0
uL03a-aIF5,0.23154108590717337,320-340,1.0
uL03a-aRNAPA,1.2522132748199568,23-49,1.0
uL03a-aRNAPB-ClustalW,0.7384944239402729,564-584,1.0
uL03a-aRNAPB-ClustalW,0.34118405726360956,117-134,1.0
uL03a-aRNPA-ClustalW,0.4307850089064176,385-397,1.0
uL03a-aRNPA-full,0.3252196206271436,878-893,1.0
uL03a-aRNPA-full,0.304923002852894,396-406,1.0
uL03a-aRNPA-full,0.0826533971985044,1134-1148,0.8630219628461693
uL03b-aRNAPA2,0.5887042032380294,75-99,1.0
