Alignment name,Distance from boundary,Alignment position,E-value
A_BBS30001,2.9727284087843624,27-47,0.05116352471221517
A_BBS30001,0.2176467039182468,140-163,0.8044095862249625
A_BBS30002,1.3345993061588277,615-632,0.26326364244476336
A_BBS30002,1.019572505382062,561-573,0.3607491255236136
A_BBS30004,7.366836371342445,165-191,0.0006318640034784444
A_BBS30004,3.5514397984932633,268-287,0.028683311720433605
A_BBS30004,3.186848194604795,444-463,0.04130184137719572
A_BBS30005,4.994088751399542,224-241,0.0067778946327268505
A_BBS30005,2.5926805621034807,185-204,0.07481921349320056
A_BBS30005,1.5476553779759685,160-180,0.2127461989472895
A_BBS30006,6.963075782850758,24-42,0.0009461818444095481
A_BBS30007,3.346579688477414,42-52,0.035204558973308805
A_BBS30007,5.2342977452715305,18-36,0.005330566585302319
A_BBS30008,12.95700321226385,1-22,2.3596359430073237e-06
A_BBS30008,5.266481997107199,134-155,0.005161737676811911
A_BBS30008,5.418484107906083,305-327,0.00443386281363879
A_BBS30008,2.9918035779634606,179-194,0.050196821151566276
A_BBS30008,1.7944729322917319,59-71,0.1662150358416103
A_BBS30008,1.41209755480881,122-130,0.24363171594351393
A_BBS30008,0.503753845466031,356-372,0.6042581054230841
A_BBS30011,7.218710377309586,283-307,0.0007327467766865057
A_BBS30011,0.43971698663438663,2-13,0.6442187177932357
A_BBS30011,0.5744453340426606,115-128,0.5630170686170112
A_BBS30011,0.8083599634197592,149-172,0.44558824832357413
A_BBS30012,15.701279977809591,4-30,1.5171228406841088e-07
A_BBS30012,8.655541646634074,209-233,0.0001741590411480242
A_BBS30012,3.128242184910333,373-385,0.043794712638156215
A_BBS30013,17.829556108778196,64-99,1.8060183854975373e-08
A_BBS30013,0.4189359291071429,28-40,0.6577463363128364
A_BBS30014_A,4.379606939745656,66-81,0.012530282809407692
A_BBS30014_B,2.767772938464579,70-86,0.0628017123936717
A_BBS30014_B,0.11781208694959748,52-63,0.8888630658922406
A_BBS30014_B,3.4813484144739313,208-235,0.030765897868575892
A_BBS30015,14.090205267968113,5-31,7.598040483959681e-07
A_BBS30015,1.8712030516126883,107-116,0.15393835458466265
A_BBS30015,2.436403700770302,86-100,0.08747487228292657
A_BBS30015,0.6996305090846888,49-62,0.4967688214518038
A_BBS30016,1.0156458351753106,29-36,0.36216845315900215
A_BBS30016,4.847066217060815,9-21,0.007851378032436553
A_BBS30019,9.834000264163432,247-272,5.3597921739102784e-05
A_BBS30020_B,3.7810694127685176,55-69,0.022798297593333443
A_BBS30020_B,2.6002403033038624,9-22,0.07425573217241659
A_BBS30021_A,2.8512753931179846,2-23,0.057770593651670615
A_BBS30021_B,3.9504658066567653,1-23,0.019245734895704174
A_BBS30021_C,2.707088451006515,5-23,0.06673081418170787
A_BBS30022,10.398418490491794,1-19,3.048065034815307e-05
A_BBS30023_A,3.9794129594129912,1-28,0.018696611786739575
A_BBS30023_B,0.7579890927603384,5-23,0.46860780701043403
A_BBS30023_C,2.191833202930543,1-23,0.11171177044648319
