File name,Segment length,Normalized segment length,Total segment weight,Alignment position
A_IND_tg_11,1,0.00398406374501992,6.043365822996795,297-297
A_IND_tg_11,1,0.00398406374501992,5.800844794601793,407-407
A_IND_tg_11,1,0.00398406374501992,5.364074327430142,462-462
A_IND_tg_11,2,0.00796812749003984,7.281535215248094,223-224
A_IND_tg_11,2,0.00796812749003984,9.605455424697919,289-290
A_IND_tg_11,3,0.01195219123505976,17.459532356942237,255-257
A_IND_tg_11,3,0.01195219123505976,7.990594689663871,415-417
A_IND_tg_11,3,0.01195219123505976,18.272170477013624,533-535
A_IND_tg_11,4,0.01593625498007968,6.365487721775674,171-174
A_IND_tg_11,4,0.01593625498007968,20.916797296817315,424-427
A_IND_tg_11,5,0.0199203187250996,24.161425682009998,270-274
A_IND_tg_11,5,0.0199203187250996,27.43380545543891,279-283
A_IND_tg_11,5,0.0199203187250996,20.986329156859874,353-357
A_IND_tg_11,5,0.0199203187250996,25.55488048358187,389-393
A_IND_tg_11,5,0.0199203187250996,16.995796777194396,511-515
A_IND_tg_11,6,0.02390438247011952,25.75171190534785,192-197
A_IND_tg_11,6,0.02390438247011952,25.044810520791348,451-456
A_IND_tg_11,6,0.02390438247011952,20.190370445404582,499-504
A_IND_tg_11,7,0.027888446215139442,27.081227276023284,341-347
A_IND_tg_11,8,0.03187250996015936,41.111993762946064,307-314
A_IND_tg_11,8,0.03187250996015936,25.19636839806912,521-528
A_IND_tg_11,10,0.0398406374501992,28.95897713160277,123-132
A_IND_tg_11,10,0.0398406374501992,42.55092657989008,324-333
A_IND_tg_11,11,0.043824701195219126,43.63474187292072,98-108
A_IND_tg_11,13,0.05179282868525897,46.81870874912638,364-376
A_IND_tg_11,15,0.05976095617529881,44.8790616803276,79-93
A_IND_tg_11,15,0.05976095617529881,51.624117646627894,142-156
A_IND_tg_11,15,0.05976095617529881,52.08384222749675,475-489
A_IND_tg_11,16,0.06374501992031872,70.95620006574676,229-244
A_IND_tg_11,16,0.06374501992031872,54.589613096180805,430-445
A_IND_tg_11,17,0.06772908366533864,64.95332205417947,201-217
A_IND_tg_11,19,0.07569721115537849,70.68384242468285,4-22
A_IND_tg_11,36,0.14342629482071714,100.59697552972924,39-74
A_IND_tg_12,1,0.004,3.412703944882906,45-45
A_IND_tg_12,1,0.004,7.174192389019252,71-71
A_IND_tg_12,1,0.004,5.957706823036961,97-97
