Alignment name,Distance from boundary,Alignment position,E-value
C-struc_bS1-RNAP7Ca,0.5333333333333333,557-564,0.014028466860135112
C-struc_bS1-RNAP7Ca,0.5333333333333333,524-534,0.002832298611864697
C-struc_bS1-RNAP7Ca,0.5333333333333333,617-625,0.00822974704902003
HA-putativeLoki,0.9333333333333333,53-76,1.8698363804268472e-10
HA-putativeLoki,0.8635915833413934,176-192,4.208215702218757e-07
HA-putativeLoki,0.7,99-108,0.0009118819655545162
IF2-EFTU_Ploop,1.0,132-176,2.8625185805493937e-20
IF2-EFTU_Ploop,1.0,33-58,5.109089028063325e-12
IF2-EFTU_Ploop,0.9444472400250882,112-126,7.03844349019455e-07
IF2-EFTU_Ploop,0.7,209-222,5.545159943217704e-05
IF2-EFTU_Ploop,0.5333333333333333,83-94,0.001661557273173934
IF2-EFTU_Ploop,0.5333333333333333,193-203,0.002832298611864697
IF2-EFTU_Ploop,0.5333333333333333,246-253,0.014028466860135112
N-struc_bS01-RNAP7Ca,0.9333333333333333,518-537,7.81933232345508e-09
N-struc_bS01-RNAP7Ca,0.5433129900657974,566-576,0.0025378376213307735
N-struc_bS01-RNAP7Ca,0.5333333333333333,506-513,0.014028466860135112
aIF5-bEFTU,1.0,156-202,3.873997628687187e-21
aIF5-bEFTU,1.0,39-63,1.3887943864964021e-11
aIF5-bEFTU,0.9333333333333333,141-149,0.0002248673241788482
aIF5-bEFTU,0.9333333333333333,596-608,5.377250718166931e-06
aIF5-bEFTU,0.5333333333333333,265-273,0.00822974704902003
aIF5-bEFTU,0.5333333333333333,91-102,0.001661557273173934
aIF5-bEFTU,0.5333333333333333,411-420,0.004827949993831441
aIF5-bEFTU,0.5333333333333333,463-471,0.00822974704902003
aIF5-bEFTU,0.5333333333333333,335-340,0.04076220397836621
aL08-aL30,1.0,54-90,8.533047625744066e-17
aL08-aL30,1.0,94-118,1.3887943864964021e-11
aL08-aL30,0.7,124-136,0.00011166580849011478
aL08-eS12,1.0,59-90,1.2664165549094176e-14
aL08-eS12,1.0,93-122,9.357622968840175e-14
aL08-eS12,0.5333333333333333,135-142,0.014028466860135112
aL08-eS12,0.5333333333333333,37-49,0.0009747462928068856
aL30-eS12,1.0,52-82,3.442477108469977e-14
aL30-eS12,0.9333333333333333,99-119,3.074879879586606e-09
aL30-eS12,0.5333333333333333,135-145,0.002832298611864697
aL37-bL34,1.0,77-98,2.7894680928689246e-10
aL37-bL34,0.5333333333333333,113-118,0.04076220397836621
aL37-bL34,0.5333333333333333,68-73,0.04076220397836621
aaTRNAS_Y-W,0.9333333333333333,152-169,5.05653134833552e-08
aaTRNAS_Y-W,0.7,293-307,2.7536449349747158e-05
aaTRNAS_Y-W,0.7,592-596,0.0301973834223185
aeL14-eL27,1.0,14-40,1.8795288165390832e-12
aeL14-eL27,0.9333333333333333,87-100,2.114553948703151e-06
bL27-uL16a,0.5333333333333333,63-76,0.000571831227656578
bL27-uL16b,0.5333333333333333,29-41,0.0009747462928068856
bL27CP-uL16a-43,0.5333333333333333,80-88,0.00822974704902003
casp9-mcasp_struct,0.9889785537909014,436-459,4.9182399460185345e-11
casp9-mcasp_struct,0.958774885113296,389-414,1.49225591219009e-11
casp9-mcasp_struct,0.9333333333333333,487-513,1.1370486739266739e-11
casp9-mcasp_struct,0.7,534-545,0.0002248673241788486
d1a2za_d1ghha,0.5333333333333333,18-28,0.002832298611864697
d1a7j_d1kafa,0.5333333333333333,92-103,0.001661557273173934
d1vm0b_d6mhta,0.5333333333333333,117-126,0.004827949993831441
seq-bS01-RNAP7Ca,1.0,550-569,2.061153622438558e-09
seq-bS01-RNAP7Ca,1.0,577-587,1.670170079024566e-05
seq-bS01-RNAP7Ca,0.9333333333333333,609-625,1.2858615804504048e-07
seq-bS01-RNAP7Ca,0.7,642-649,0.003697863716482932
uL02b-bL34,1.0,321-347,1.8795288165390832e-12
uL02c-aL37,0.5333333333333333,273-282,0.004827949993831441
uL03a-aIF5,0.5333333333333333,632-645,0.000571831227656578
uL03a-aIF5,0.5333333333333333,320-331,0.001661557273173934
uL03a-aIF5,0.5333333333333333,511-519,0.00822974704902003
uL03a-aRNAPA,1.0,23-49,1.8795288165390832e-12
uL03a-aRNAPA,0.7,142-165,5.056531348335539e-08
uL03a-aRNAPA2,0.5333333333333333,313-332,2.3309101142937016e-05
uL03a-aRNAPA2,0.5333333333333333,513-525,0.0009747462928068856
uL03a-aRNAPA2,0.5333333333333333,453-464,0.001661557273173934
uL03a-aRNAPB-ClustalW,0.9333333333333333,564-584,3.074879879586606e-09
uL03a-aRNAPB-ClustalW,0.7,122-134,0.00011166580849011478
uL03a-aRNAPB-ClustalW,0.7,386-405,8.315287191035679e-07
uL03a-aRNAPB-ClustalW,0.5333333333333333,355-366,0.001661557273173934
uL03a-aRNPA-ClustalW,0.9333333333333333,385-397,5.377250718166931e-06
