Alignment name,Distance from boundary,Alignment position,Probability
C-struc_bS1-RNAP7Ca,2.1099969612754883,524-564,0.9895155744566966
HA-putativeLoki,0.06334542710427726,168-192,0.5917202716798584
IF2-EFTU_Ploop,12.804171739624625,132-184,0.9999999999999699
IF2-EFTU_Ploop,5.4206503570459255,33-58,0.999999999546788
N-struc_bS01-RNAP7Ca,0.0004538107627816146,518-537,0.5598591543270376
aIF5-bEFTU,11.133071937382663,156-202,0.9999999999999699
aIF5-bEFTU,4.667791469630881,39-63,0.9999999901949468
aL08-aL30,6.843341187851113,41-90,0.9999999999986408
aL08-aL30,0.4390226344396062,94-118,0.7568719297455953
aL08-eS12,10.048574116825247,53-122,0.9999999999999699
aL30-eS12,4.082749515694804,41-82,0.9999998930877355
aL30-eS12,0.1146095168820942,131-155,0.6177677359530449
aL37-bL34,5.674646846077412,68-98,0.9999999998393582
aaTRNAS_Y-W,0.9358267018491055,140-169,0.8958178077034439
aeL14-eL27,4.013418803270323,14-40,0.9999998580968987
casp9-mcasp_struct,0.6519110240957424,389-421,0.8278917907385557
casp9-mcasp_struct,0.17463399454311812,436-458,0.6446870846178115
seq-bS01-RNAP7Ca,8.215795544991874,550-594,0.9999999999999699
seq-bS01-RNAP7Ca,0.058953561565974866,609-625,0.58949446650017
uL02b-bL34,0.8144750358740716,321-347,0.8702799139932236
uL03a-aRNAPA,0.4850746581744936,23-49,0.7737611837753259
uL33_aperm_STRUC,0.3708256792487781,121-149,0.7303386468336217
uL33_bperm_PRMS,1.341574246881752,71-105,0.9516391973381447
uL33_bperm_PRMS,0.5399042967703558,170-217,0.7927708787100299
uL33_bperm_STRUC,0.3708256792487781,6-34,0.7303386468336217
uL33_nonperm,1.1737021639852365,89-132,0.9332161140445938
