Alignment name,Distance from boundary,Alignment position,E-value
A_PS51076_PS51075,0.4220833204978973,241-254,0.0027144484728951093
A_PS51237_PS51241,1.2480334486924116,7-19,8.991196311172996e-08
A_PS51237_PS51245,0.6341718133793011,133-152,3.102084455035021e-06
A_PS51237_PS51251,1.2756944150611815,213-234,6.477464011903286e-13
A_PS51237_PS51267,0.047609762603396,161-174,0.5134838625743062
A_PS51240_PS51237,1.4041973968743697,196-212,4.2934056511157593e-11
A_PS51240_PS51242,3.3124795807652436,196-225,6.954275628608487e-44
A_PS51240_PS51245,1.4459063313833749,115-139,2.0011123547394422e-16
A_PS51240_PS51245,0.2588015152336789,203-215,0.034582078344285734
A_PS51240_PS51250,0.49448355190711624,147-161,0.0006007971034946716
A_PS51240_PS51251,7.855042715086448,43-75,2.653039358392723e-113
A_PS51240_PS51251,6.225832953896535,160-190,1.5163804932274833e-84
A_PS51240_PS51251,5.459623144952937,207-235,1.732040534147682e-69
A_PS51240_PS51251,2.2669270125406284,129-150,2.191262298911319e-22
A_PS51240_PS51261,9.12833483914234,5-52,5.1226940537056087e-191
A_PS51240_PS51261,5.322575288512336,240-273,2.5514518168784494e-79
A_PS51240_PS51261,3.203267729702066,153-176,4.093775498191805e-34
A_PS51240_PS51261,1.9141219101451772,200-213,2.3009322660983218e-12
A_PS51240_PS51261,0.31935651699893874,83-98,0.006037868226401908
A_PS51240_PS51267,9.143870706994122,138-183,2.1276530040584512e-183
A_PS51240_PS51267,9.078803933084874,24-73,7.182530502030734e-198
A_PS51240_PS51267,7.72363521779784,187-230,5.803865254783243e-145
A_PS51240_PS51267,3.330343582382045,90-116,8.882890363661953e-40
A_PS51240_PS51288,9.142044656742677,134-181,2.6527828954783044e-191
A_PS51240_PS51288,9.094356532869806,23-66,1.6456225042865872e-174
A_PS51240_PS51288,5.292588132594206,185-213,2.1993137620606816e-67
A_PS51240_PS51288,0.08132847726174397,76-88,0.3474028559080918
A_PS51240_PS51291,5.911513574140724,120-216,9.294813504089346e-250
A_PS51240_PS51291,6.66325459817543,35-65,1.957691212345707e-90
A_PS51240_PS51291,4.201351743878597,3-31,1.2187300283552743e-53
A_PS51240_PS51298,7.6304449282453275,141-210,1.0710040762124513e-232
