Alignment name,Distance from boundary,Alignment position,E-value
C-struc_bS1-RNAP7Ca,0.65,524-530,0.010567204383852655
HA-putativeLoki,1.0,99-108,4.5399929762484854e-05
HA-putativeLoki,1.0,176-188,2.2603294069810542e-06
HA-putativeLoki,0.9411764705882353,59-75,1.1253517471925912e-07
IF2-EFTU_Ploop,1.0,40-50,1.670170079024566e-05
IF2-EFTU_Ploop,1.0,115-122,0.00033546262790251185
IF2-EFTU_Ploop,1.0,139-144,0.0024787521766663585
IF2-EFTU_Ploop,0.9411764705882353,172-176,0.009041932521329793
IF2-EFTU_Ploop,0.65,150-152,0.14227407158651353
IF2-EFTU_Ploop,0.65,160-165,0.02024191144580438
N-struc_bS01-RNAP7Ca,0.65,528-536,0.0028798991580882404
N-struc_bS01-RNAP7Ca,0.65,506-511,0.02024191144580438
aIF5-bEFTU,1.0,41-58,1.522997974471263e-08
aIF5-bEFTU,0.9524230609056992,141-146,0.003297672489938822
aIF5-bEFTU,0.9411764705882353,163-167,0.009041932521329793
aIF5-bEFTU,0.9411764705882353,413-420,0.0005370540779512414
aIF5-bEFTU,0.7082413744256721,335-340,0.014272106420855673
aIF5-bEFTU,0.7316842280428844,463-470,0.002869912250711298
aIF5-bEFTU,0.65,197-201,0.03877420783172201
aL08-aL30,1.0,72-85,8.315287191035679e-07
aL08-aL30,1.0,58-69,6.14421235332821e-06
aL08-aL30,0.9411764705882353,124-130,0.0013764668807952861
aL08-eS12,1.0,59-84,5.109089028063325e-12
aL08-eS12,0.9411764705882353,135-141,0.0013764668807952861
aL08-eS12,0.65,113-117,0.03877420783172201
aL30-eS12,1.0,71-79,0.00012340980408667956
aL37-bL34,1.0,88-97,4.5399929762484854e-05
aL37-bL34,1.0,113-118,0.0024787521766663585
aaTRNAS_Y-W,0.9411764705882353,299-307,0.00020954160733414274
aaTRNAS_Y-W,0.65,592-595,0.07427357821433388
aeL14-eL27,1.0,28-35,0.00033546262790251185
aeL14-eL27,0.65,17-20,0.07427357821433388
aeL14-eL27,0.65,50-55,0.02024191144580438
bL27-uL16a,0.9411764705882353,70-76,0.0013764668807952861
bL27-uL16a,0.65,90-95,0.02024191144580438
bL27-uL16b,0.9411764705882353,92-98,0.0013764668807952861
bL27CP-uL16a-43,0.9411764705882353,82-88,0.0013764668807952861
bL27CP-uL16a-43,0.9411764705882353,69-76,0.0005370540779512414
bL27CP-uL16b-31,0.9411764705882353,86-92,0.0013764668807952861
bL27CP-uL16b-31,0.65,36-40,0.03877420783172201
casp9-mcasp_struct,0.9411764705882353,534-541,0.0005370540779512414
casp9-mcasp_struct,0.65,464-469,0.02024191144580438
d1a2za_d1ghha,0.9411764705882353,23-30,0.0005370540779512414
d1a7j_d2if1,0.9411764705882353,88-93,0.0035278776415851344
seq-bS01-RNAP7Ca,1.0,577-586,4.5399929762484854e-05
seq-bS01-RNAP7Ca,1.0,558-568,1.670170079024566e-05
seq-bS01-RNAP7Ca,1.0,609-623,3.059023205018258e-07
seq-bS01-RNAP7Ca,0.9411764705882353,642-648,0.0013764668807952861
uL02b-bL34,1.0,321-333,2.2603294069810542e-06
uL02c-aL37,0.9411764705882353,273-282,8.175654372028136e-05
uL02c-aL37,0.65,260-266,0.010567204383852655
uL03a-aRNAPB-ClustalW,0.65,309-317,0.0028798991580882404
uL03a-aRNPA-full,0.65,401-406,0.02024191144580438
uL03b-aRNAPB-ClustalW,0.65,577-583,0.010567204383852655
uL11a-bS18,0.9411764705882353,195-205,3.1898831578720846e-05
uL11a-bS18,0.65,178-183,0.02024191144580438
uL14a-aS08,0.9411764705882353,142-150,0.00020954160733414274
uL14a-aS08,0.65,188-193,0.02024191144580438
uL16a-aRNAPB-hammer,0.9411764705882353,160-168,0.00020954160733414274
uL16a-aRNAPB-hammer,0.65,124-129,0.02024191144580438
uL30b-aL08,0.65,148-152,0.03877420783172201
uL30b-aL30,0.9411764705882353,64-71,0.0005370540779512414
uL33_aperm_STRUC,1.0,139-145,0.0009118819655545162
uL33_aperm_STRUC,0.65,66-70,0.03877420783172201
uL33_bperm_PRMS,1.0,93-99,0.0009118819655545162
uL33_bperm_PRMS,0.9411764705882353,176-183,0.0005370540779512414
uL33_bperm_STRUC,1.0,24-30,0.0009118819655545162
uL33_bperm_STRUC,0.65,103-107,0.03877420783172201
uL33_nonperm,0.9411764705882353,177-184,0.0005370540779512414
