Alignment name,Distance from boundary,Alignment position,Probability
A_BBS30001,1.2090703974546848,27-59,0.9375735772935617
A_BBS30002,2.515002678000595,209-248,0.9953865491515541
A_BBS30002,2.402666984034969,561-608,0.9942041970056296
A_BBS30003,2.0734300967981234,219-291,0.9887121874056083
A_BBS30003,2.1735358953976522,105-191,0.9907792234705184
A_BBS30004,2.132510100778344,165-189,0.9899817910161035
A_BBS30004,1.9122959775621986,430-464,0.9843849045362849
A_BBS30004,0.5695251168656448,326-355,0.8025420767689748
A_BBS30004,0.22218174109714894,207-226,0.6665995707894967
A_BBS30005,5.986325155156752,138-201,0.9999999999550093
A_BBS30005,0.8774321530129221,87-116,0.884138511636933
A_BBS30006,4.025185784805803,2-42,0.9999998647547741
A_BBS30007,0.9906536716421677,42-62,0.9058180455292354
A_BBS30008,3.987414803944386,1-22,0.9999998421978815
A_BBS30008,2.5062355025014575,134-155,0.995303619093351
A_BBS30008,1.038480211116866,177-193,0.9138257456425147
A_BBS30008,0.6762322548193289,299-327,0.8348673751471128
A_BBS30008,0.7187955729490234,58-71,0.846528527445363
A_BBS30008,0.3671796081040988,122-130,0.7288699085834903
A_BBS30009,1.0584019922652708,10-30,0.9169746738057378
A_BBS30011,10.403627439159518,115-188,0.9999999999999699
A_BBS30011,1.5293240300195272,69-103,0.9665076260875453
A_BBS30011,0.5739753965375236,236-255,0.8039799469626152
A_BBS30012,4.3849063378275055,244-341,0.9999999688727125
A_BBS30012,4.463996286132254,3-30,0.9999999774640633
A_BBS30012,1.0328957106834729,373-386,0.9129237066355324
A_BBS30012,0.6011629905810274,149-178,0.8125935192163454
A_BBS30013,4.435069471075305,64-116,0.9999999746383756
A_BBS30013,0.9714675351089888,13-40,0.9024210486079013
A_BBS30013,0.6229764895699539,184-199,0.819293200638299
A_BBS30014_A,5.66274775756575,148-224,0.99999999983136
A_BBS30014_A,1.132635025859269,66-82,0.9278020751287768
A_BBS30014_B,0.6181678113469324,25-58,0.8178323931323804
A_BBS30014_B,0.4550362129784382,70-86,0.7628398292669141
A_BBS30014_B,0.6547046356105319,145-186,0.8287046836344885
A_BBS30015,2.1164610182018784,3-31,0.9896515901153438
A_BBS30015,1.000230913928835,107-124,0.9074735397016872
A_BBS30016,0.9996509195934031,4-21,0.9073740361189766
A_BBS30019,1.2444535430659336,247-275,0.9416657596137894
A_BBS30021_A,0.12395977419788196,2-27,0.6225387624243045
A_BBS30021_B,0.22721392787568462,1-27,0.6688790589790564
A_BBS30021_C,0.26340870762719604,5-28,0.6850373429433586
A_BBS30022,0.5942218299227555,1-19,0.8104222586293035
A_BBS30023_A,1.2447216648735981,1-44,0.9416957856565273
A_BBS30023_B,1.6879036979582729,1-59,0.9755379907889768
A_BBS30023_C,6.169662541096034,1-109,0.999999999978719
A_BBS30024_A,0.31287458211604857,139-158,0.7064108736944565
A_BBS30024_B,0.6225553249651448,139-162,0.8191656200674711
A_BBS30024_C,3.8710510046944755,141-223,0.9999997461948578
A_BBS30025_C,0.4954193966754339,2-15,0.77743941260751
A_BBS30026_A,1.6020588089699181,166-203,0.9709916560614982
A_BBS30026_A,1.0162214767287274,3-23,0.9101790772125864
A_BBS30026_A,0.3346140368082793,273-317,0.71553146631108
A_BBS30026_A,0.22602143197898883,326-338,0.6683395911558884
A_BBS30026_B,9.813961299685293,217-331,0.9999999999999699
A_BBS30026_B,1.3314522616773665,3-31,0.9506804398747535
A_BBS30026_C,3.393820843668049,1-31,0.9999982174860258
A_BBS30026_C,1.2164419911170263,236-301,0.9384476787749833
A_BBS30026_C,1.395832825451155,371-386,0.9564839513587996
A_BBS30026_C,0.6196245871784107,217-232,0.8182759007692245
A_BBS30027,0.8526655335199642,1-21,0.8788479288134933
A_BBS30029,12.178467374029086,1-68,0.9999999999999699
A_BBS30029,1.6817558709659686,89-143,0.9752368707672271
A_BBS30029,1.12343355875824,231-248,0.9265345190589731
A_BBS30030,2.789415883125738,152-179,0.9973602176627115
A_BBS30030,0.7542780687120079,8-27,0.8557276033182747
C_1_BBS30001-2_BBS30003,0.9904410870375209,115-168,0.9057809974711374
C_1_BBS30001-2_BBS30021_C,0.9026245408811242,89-133,0.8893116427593662
C_1_BBS30001-2_BBS30030,0.9583614300132233,52-99,0.9000377014140392
C_1_BBS30003-2_BBS30013,0.003826718194243739,228-253,0.561568844740194
C_1_BBS30021_A-2_BBS30025_B,0.6781805344300018,162-201,0.8354162755992106
C_1_BBS30021_A-2_BBS30025_C,0.6781805344300018,162-201,0.8354162755992106
