Alignment name,Distance from boundary,Alignment position,E-value
IF2-EFTU_Ploop,1.0,132-176,2.8625185805493937e-20
IF2-EFTU_Ploop,1.0,33-58,5.109089028063325e-12
IF2-EFTU_Ploop,1.0,112-126,3.059023205018258e-07
IF2-EFTU_Ploop,0.8,209-222,1.3674196065680938e-05
IF2-EFTU_Ploop,0.6755157141628767,83-94,0.0003016664654484115
IF2-EFTU_Ploop,0.6296296296296297,193-203,0.0009819934438794573
IF2-EFTU_Ploop,0.6296296296296297,246-253,0.006492958239877237
N-struc_bS01-RNAP7Ca,0.8666666666666667,518-537,2.966394999334992e-08
N-struc_bS01-RNAP7Ca,0.6296296296296297,566-576,0.0009819934438794573
aIF5-bEFTU,1.0,156-202,3.873997628687187e-21
aIF5-bEFTU,1.0,39-63,1.3887943864964021e-11
aIF5-bEFTU,0.8666666666666667,141-149,0.00040973497897978643
aIF5-bEFTU,0.8666666666666667,596-608,1.2792305934136388e-05
aIF5-bEFTU,0.6296296296296297,265-273,0.0034593773364647584
aIF5-bEFTU,0.6296296296296297,91-102,0.0005231953970456776
aIF5-bEFTU,0.6296296296296297,411-420,0.001843118516079086
aIF5-bEFTU,0.6296296296296297,463-471,0.0034593773364647584
aL08-aL30,1.0,54-90,8.533047625744066e-17
aL08-aL30,1.0,94-118,1.3887943864964021e-11
aL08-aL30,0.8666666666666667,124-136,1.2792305934136388e-05
aL08-eS12,1.0,59-90,1.2664165549094176e-14
aL08-eS12,1.0,93-122,9.357622968840175e-14
aL08-eS12,0.6296296296296297,135-142,0.006492958239877237
aL08-eS12,0.5327367181256486,37-49,0.0009823358169317813
aL30-eS12,1.0,52-82,3.442477108469977e-14
aL30-eS12,0.8666666666666667,99-119,1.2469252785750989e-08
aL30-eS12,0.6296296296296297,135-145,0.0009819934438794573
aL37-bL34,1.0,77-98,2.7894680928689246e-10
aaTRNAS_Y-W,0.8666666666666667,152-169,1.6788275299956603e-07
aaTRNAS_Y-W,0.8655664524599637,293-307,2.297941612326482e-06
aaTRNAS_Y-W,0.6296296296296297,592-596,0.042931556180496024
aeL14-eL27,1.0,14-40,1.8795288165390832e-12
aeL14-eL27,0.8666666666666667,87-100,5.377250718166931e-06
bL27-uL16a,0.6296296296296297,63-76,0.00014851645246997152
bL27-uL16b,0.6296296296296297,29-41,0.00027875280145290426
bL27CP-uL16a-43,0.6296296296296297,80-88,0.0034593773364647584
seq-bS01-RNAP7Ca,1.0,550-569,2.061153622438558e-09
seq-bS01-RNAP7Ca,1.0,577-587,1.670170079024566e-05
seq-bS01-RNAP7Ca,0.8666666666666667,609-625,3.99387651793854e-07
seq-bS01-RNAP7Ca,0.6296296296296297,642-649,0.006492958239877237
uL02b-bL34,1.0,321-347,1.8795288165390832e-12
uL02c-aL37,0.6296296296296297,273-282,0.001843118516079086
uL03a-aIF5,0.6296296296296297,632-645,0.00014851645246997152
uL03a-aIF5,0.6296296296296297,320-331,0.0005231953970456776
uL03a-aRNAPA,1.0,23-49,1.8795288165390832e-12
uL03a-aRNAPA,0.8666666666666667,142-165,9.261360220567754e-10
uL03a-aRNAPA2,0.6296296296296297,313-332,3.397085864313572e-06
uL03a-aRNAPA2,0.6296296296296297,513-525,0.00027875280145290426
uL03a-aRNAPB-ClustalW,0.8666666666666667,564-584,1.2469252785750989e-08
uL03a-aRNAPB-ClustalW,0.8666666666666667,122-134,1.2792305934136388e-05
uL03a-aRNAPB-ClustalW,0.7840794398184038,386-405,1.5472928485146894e-07
uL03a-aRNAPB-ClustalW,0.6296296296296297,355-366,0.0005231953970456776
uL03a-aRNPA-ClustalW,0.8666666666666667,385-397,1.2792305934136388e-05
uL03a-aRNPA-ClustalW,0.6296296296296297,1101-1107,0.012186732641277216
uL03a-aRNPA-full,0.8666666666666667,396-406,7.239789501792424e-05
uL03a-aRNPA-full,0.6296296296296297,655-669,7.912794612036177e-05
uL03a-aRNPA-full,0.6296296296296297,878-888,0.0009819934438794573
uL03a-aRNPA-full,0.6296296296296297,1134-1140,0.012186732641277216
uL03b-aIF5,0.8666666666666667,86-97,3.0432483008403625e-05
uL03b-aRNAPA2,0.6296296296296297,505-517,0.00027875280145290426
uL03b-aRNAPB-ClustalW,0.8,577-588,6.772873649085378e-05
uL03b-aRNAPB-ClustalW,0.6296296296296297,123-135,0.00027875280145290426
uL11a-bS18,0.6296296296296297,192-204,0.00027875280145290426
uL11b-bS18,0.6296296296296297,98-108,0.0009819934438794573
uL14a-aS08,0.6296296296296297,142-150,0.0034593773364647584
uL30b-aL08,0.6296296296296297,145-155,0.0009819934438794573
uL33_aperm_STRUC,0.6296296296296297,139-149,0.0009819934438794573
uL33_bperm_PRMS,0.8,93-105,3.0432483008403625e-05
uL33_bperm_PRMS,0.6296296296296297,170-183,0.00014851645246997152
uL33_bperm_STRUC,0.6296296296296297,24-34,0.0009819934438794573
uL33_nonperm,0.6296296296296297,174-185,0.0005231953970456776
