File name,Segment length,Normalized segment length,Total segment weight,Alignment position
C-struc_bS1-RNAP7Ca,1,0.0016051364365971107,2.9916606798874663,200-200
C-struc_bS1-RNAP7Ca,1,0.0016051364365971107,1.5451840329237587,456-456
C-struc_bS1-RNAP7Ca,1,0.0016051364365971107,5.6788156127913725,734-734
C-struc_bS1-RNAP7Ca,2,0.0032102728731942215,3.5175012760672812,467-468
C-struc_bS1-RNAP7Ca,3,0.004815409309791332,4.7852550215635805,421-423
C-struc_bS1-RNAP7Ca,3,0.004815409309791332,2.5068899500499016,633-639
C-struc_bS1-RNAP7Ca,4,0.006420545746388443,4.439495731695833,908-912
C-struc_bS1-RNAP7Ca,4,0.006420545746388443,2.3146727929636413,1054-1072
C-struc_bS1-RNAP7Ca,7,0.011235955056179775,4.189145677817853,503-510
C-struc_bS1-RNAP7Ca,8,0.012841091492776886,19.66946690883202,617-624
C-struc_bS1-RNAP7Ca,15,0.024077046548956663,21.96148653895395,592-608
C-struc_bS1-RNAP7Ca,31,0.04975922953451043,60.25853310028292,524-564
HA-Loki,1,0.003134796238244514,4.298231766817766,40-40
HA-Loki,1,0.003134796238244514,4.306163647203316,44-44
HA-Loki,1,0.003134796238244514,1.515187358830444,280-280
HA-Loki,2,0.006269592476489028,3.7075031820786464,276-277
HA-Loki,3,0.009404388714733543,6.403253696937575,303-305
HA-Loki,5,0.01567398119122257,4.680061934041205,312-316
HA-Loki,6,0.018808777429467086,11.67914906467425,254-259
HA-Loki,7,0.0219435736677116,3.6503450825440966,264-270
HA-Loki,9,0.02821316614420063,16.3897344685289,22-31
HA-Loki,9,0.02821316614420063,11.062251587900597,288-296
HA-Loki,10,0.03134796238244514,29.695752053892303,99-108
HA-Loki,11,0.034482758620689655,13.908035147549487,212-222
HA-Loki,17,0.05329153605015674,10.969428312328724,328-348
HA-Loki,21,0.06583072100313479,41.09321040576674,168-192
HA-Loki,24,0.07523510971786834,38.04109361049887,53-76
IF2-EFTU_Ploop,1,0.0038910505836575876,4.62059936425479,290-290
IF2-EFTU_Ploop,2,0.007782101167315175,7.857974002790448,269-270
IF2-EFTU_Ploop,8,0.0311284046692607,22.819872853459508,246-253
IF2-EFTU_Ploop,10,0.038910505836575876,24.90746873438326,193-203
IF2-EFTU_Ploop,13,0.05058365758754864,28.623175801228097,209-221
IF2-EFTU_Ploop,15,0.058365758754863814,32.51994206043125,78-94
IF2-EFTU_Ploop,22,0.08560311284046693,49.70318022209681,97-126
IF2-EFTU_Ploop,26,0.10116731517509728,91.56555364217962,33-58
IF2-EFTU_Ploop,52,0.20233463035019456,166.48560842222372,132-184
N-struc_bS01-RNAP7Ca,1,0.001455604075691412,3.0652745114894415,208-208
N-struc_bS01-RNAP7Ca,2,0.002911208151382824,3.170831222026494,543-544
N-struc_bS01-RNAP7Ca,2,0.002911208151382824,4.349030036987589,642-645
N-struc_bS01-RNAP7Ca,5,0.00727802037845706,2.549238940058201,597-603
N-struc_bS01-RNAP7Ca,8,0.011644832605531296,21.82590973290605,506-513
N-struc_bS01-RNAP7Ca,15,0.021834061135371178,28.104720682623896,560-576
N-struc_bS01-RNAP7Ca,19,0.027656477438136828,37.03735883681766,518-537
aIF5-bEFTU,1,0.0015267175572519084,2.8663414986234272,611-611
aIF5-bEFTU,2,0.0030534351145038168,2.904707621359428,109-110
aIF5-bEFTU,4,0.0061068702290076335,10.753155535288014,518-521
aIF5-bEFTU,4,0.0061068702290076335,14.423120586172457,552-555
aIF5-bEFTU,5,0.007633587786259542,9.972473152800049,619-623
aIF5-bEFTU,6,0.00916030534351145,8.55986056528031,7-32
aIF5-bEFTU,6,0.00916030534351145,14.370261159676517,242-248
aIF5-bEFTU,6,0.00916030534351145,13.707148534983705,318-323
aIF5-bEFTU,6,0.00916030534351145,17.498056675263157,499-504
aIF5-bEFTU,7,0.010687022900763359,15.323151109419731,370-376
aIF5-bEFTU,7,0.010687022900763359,18.423815936307893,425-431
aIF5-bEFTU,7,0.010687022900763359,14.673750229805837,633-639
aIF5-bEFTU,7,0.010687022900763359,12.90477824303797,704-710
aIF5-bEFTU,8,0.012213740458015267,18.520875947429325,300-307
aIF5-bEFTU,9,0.013740458015267175,35.259182873466415,141-149
aIF5-bEFTU,9,0.013740458015267175,26.2145748469461,265-273
aIF5-bEFTU,9,0.013740458015267175,23.00900912260526,463-471
aIF5-bEFTU,10,0.015267175572519083,23.943531561115822,411-420
aIF5-bEFTU,11,0.016793893129770993,15.811445626827922,526-536
aIF5-bEFTU,11,0.016793893129770993,12.742197372261405,563-573
aIF5-bEFTU,12,0.0183206106870229,29.517637477409806,335-346
aIF5-bEFTU,13,0.01984732824427481,33.72271464120058,596-608
aIF5-bEFTU,14,0.021374045801526718,19.410216059435157,223-236
aIF5-bEFTU,15,0.022900763358778626,27.963873627853182,86-102
aIF5-bEFTU,15,0.022900763358778626,31.93072440833622,653-667
aIF5-bEFTU,25,0.03816793893129771,80.9147360849067,39-63
aIF5-bEFTU,47,0.0717557251908397,135.41507746531605,156-202
aL08-aL30,1,0.007751937984496124,1.7995526034028486,3-3
aL08-aL30,21,0.16279069767441862,43.00564122358118,124-146
aL08-aL30,23,0.17829457364341086,43.44054268484637,94-118
aL08-aL30,45,0.3488372093023256,104.0646204489993,41-90
aL08-eS12,1,0.006578947368421052,2.7462947135760913,29-29
aL08-eS12,2,0.013157894736842105,10.3140874802171,3-4
aL08-eS12,13,0.08552631578947369,20.04858460587571,37-49
aL08-eS12,29,0.19078947368421054,52.80816726449544,135-167
aL08-eS12,63,0.4144736842105263,152.23904095835502,53-122
aL30-eS12,2,0.013793103448275862,3.193150034854738,2-3
aL30-eS12,2,0.013793103448275862,5.01751377152452,89-90
aL30-eS12,22,0.15172413793103448,31.626485243842833,94-119
aL30-eS12,23,0.15862068965517243,41.116903680283464,131-155
aL30-eS12,41,0.2827586206896552,75.74209435064824,41-82
aL37-bL34,3,0.045454545454545456,7.729699574123359,103-105
aL37-bL34,6,0.09090909090909091,15.956149499077384,113-118
aL37-bL34,30,0.45454545454545453,57.25330724115366,68-98
aaTRNAS_Y-W,1,0.002145922746781116,1.3558657561183276,95-95
aaTRNAS_Y-W,1,0.002145922746781116,1.3507744473369858,114-114
aaTRNAS_Y-W,1,0.002145922746781116,2.0129677631193017,332-332
aaTRNAS_Y-W,1,0.002145922746781116,1.2476519296094137,644-644
aaTRNAS_Y-W,2,0.004291845493562232,3.6918059977777777,548-549
aaTRNAS_Y-W,4,0.008583690987124463,16.884820384819985,336-339
aaTRNAS_Y-W,5,0.01072961373390558,10.260223871102083,557-561
aaTRNAS_Y-W,5,0.01072961373390558,27.519769127178662,592-596
aaTRNAS_Y-W,6,0.012875536480686695,14.311123842497526,345-350
aaTRNAS_Y-W,7,0.015021459227467811,6.179050189826521,709-728
aaTRNAS_Y-W,7,0.015021459227467811,5.989990168915825,764-770
aaTRNAS_Y-W,8,0.017167381974248927,11.303679438727539,653-660
aaTRNAS_Y-W,11,0.023605150214592276,15.908813489801188,255-269
aaTRNAS_Y-W,13,0.027896995708154508,20.98341754451377,182-194
aaTRNAS_Y-W,15,0.032188841201716736,30.66144231657879,293-307
aaTRNAS_Y-W,18,0.03862660944206009,13.53144488462061,208-231
aaTRNAS_Y-W,21,0.045064377682403435,27.91220798562906,606-627
aaTRNAS_Y-W,29,0.06223175965665236,50.05175881798837,140-169
aeL14-eL27,5,0.035211267605633804,15.073144683518027,74-78
aeL14-eL27,7,0.04929577464788732,20.803287960015957,50-56
aeL14-eL27,9,0.06338028169014084,7.774871183861682,120-128
aeL14-eL27,9,0.06338028169014084,6.523057578986493,135-241
aeL14-eL27,14,0.09859154929577464,35.925531912337455,87-100
aeL14-eL27,27,0.19014084507042253,81.33742204649991,14-40
bL27-uL16a,1,0.007518796992481203,1.695531723915255,129-129
bL27-uL16a,2,0.015037593984962405,6.33132947376127,15-16
bL27-uL16a,4,0.03007518796992481,10.053041674039122,6-9
bL27-uL16a,4,0.03007518796992481,6.595309885548356,124-127
bL27-uL16a,5,0.03759398496240601,10.201332736089498,25-29
bL27-uL16a,7,0.05263157894736842,15.503403379285414,113-119
bL27-uL16a,13,0.09774436090225563,20.507976858818495,82-95
bL27-uL16a,22,0.16541353383458646,35.603684026731386,54-76
bL27-uL16b,1,0.007518796992481203,5.113008392606467,83-83
bL27-uL16b,10,0.07518796992481203,19.507855536160392,4-13
bL27-uL16b,13,0.09774436090225563,19.52613666396433,63-75
bL27-uL16b,13,0.09774436090225563,27.004559517918985,92-104
bL27-uL16b,26,0.19548872180451127,23.659111203867464,16-41
bL27CP-uL16a-43,1,0.007407407407407408,1.695531723915255,141-141
bL27CP-uL16a-43,3,0.022222222222222223,8.391513848619683,18-20
bL27CP-uL16a-43,4,0.02962962962962963,6.595309885548356,136-139
bL27CP-uL16a-43,5,0.037037037037037035,5.540067175179342,29-33
bL27CP-uL16a-43,5,0.037037037037037035,9.703279662017646,47-51
bL27CP-uL16a-43,7,0.05185185185185185,15.503403379285414,125-131
bL27CP-uL16a-43,13,0.0962962962962963,19.298437967002414,94-107
bL27CP-uL16a-43,20,0.14814814814814814,36.45339088303717,69-88
bL27CP-uL16b-31,1,0.007874015748031496,5.113008392606467,77-77
bL27CP-uL16b-31,3,0.023622047244094488,11.364457913923856,119-121
